listing_id,y_fused,y_clean,y_review
1810640,0,0,0.0
1813681,0,0,0.0
1817510,0,0,0.0
1820858,0,0,0.0
1825949,0,0,0.0
1668328,35,35,0.0
1669149,2,2,0.0
1670517,20,20,0.0
1672977,50,50,0.0
1673040,76,76,0.0
1682258,0,0,0.0
1688914,89,89,0.0
1693028,0,0,0.0
1696381,56,56,0.0
1702032,0,0,0.0
1702533,0,0,0.0
1702781,3,3,0.0
1704560,0,0,0.0
1707850,9,9,0.0
1716640,0,0,0.0
1717058,7,7,0.0
1717215,0,0,0.0
1717226,21,21,0.0
1722101,7,7,0.0
1826701,0,0,0.0
1831227,6,6,0.0
1832120,0,0,0.0
1835367,0,0,0.0
1839231,0,0,0.0
1846580,3,3,0.0
1853765,0,0,0.0
1855846,3,3,0.0
1856027,0,0,0.0
1856803,0,0,0.0
1864061,0,0,0.0
1724731,2,2,0.0
1725295,0,0,0.0
1727923,0,0,0.0
1865336,0,0,0.0
1865884,0,0,0.0
1870228,0,0,0.0
1876511,22,22,0.0
1876811,29,29,0.0
1876969,0,0,0.0
1885714,23,23,0.0
1886240,0,0,0.0
1886294,0,0,0.0
1886820,21,21,0.0
1891118,0,0,0.0
1891274,0,0,0.0
1728625,0,0,0.0
1729286,0,0,0.0
1731245,6,6,0.0
1731365,0,0,0.0
1734724,0,0,0.0
1739847,0,0,0.0
