listing_id,y_clean,y_orig
2685701,0,0
2686412,55,55
2687083,0,0
2687375,0,0
2690370,0,0
2695372,0,0
2698984,9,9
2700296,31,31
2700596,16,16
2702351,0,0
2716009,47,0
2722693,0,0
2447868,0,0
2451647,47,47
2454507,0,0
2459587,0,0
2459916,0,0
2461439,75,75
2465259,0,0
2465699,0,0
2723019,0,0
2723338,0,0
2723554,0,0
2728293,0,0
2735650,0,0
2738377,0,0
2739577,0,0
2739707,0,0
2739978,0,0
2743624,0,0
2748094,20,0
2752977,0,0
2754179,44,44
2467377,0,0
2467879,0,0
2468186,0,0
2473861,48,48
2477138,0,0
2482036,90,90
2484057,0,0
2485774,54,54
2489615,0,0
2769718,0,0
2771877,0,0
2773754,0,0
2776119,0,0
2781747,18,17
2782449,0,0
2783468,0,0
2786015,1,1
2788298,0,0
2793355,0,0
2793740,0,0
2794584,46,46
2489920,0,0
2493039,0,0
2493176,0,0
2495596,0,0
2501809,0,0
2508374,3,3
2510394,13,13
2513351,0,0
2516430,0,0
2794725,0,0
2794734,0,0
2794762,0,0
2799360,0,0
2803013,0,0
2804557,0,0
2806791,16,0
2814359,0,0
2817967,24,24
2821079,0,0
2830518,0,0
2831424,0,0
2517989,0,0
2518907,0,0
3081771,46,46
3083197,28,28
3083899,0,0
3084473,0,0
3089577,0,0
3090922,0,0
3091425,4,4
2838331,0,0
2847633,0,0
2847652,27,27
2847932,62,61
2851945,0,0
2854050,0,0
2863408,46,46
2864637,0,0
2865117,36,36
2870840,6,6
2872353,0,0
3091872,0,0
3103596,3,3
3105531,0,0
3105986,0,0
3111416,32,32
3112284,6,6
2880336,0,0
2888088,55,55
2889377,3,0
2897714,0,0
2904571,0,0
2904661,0,0
2908211,0,0
2908417,0,0
2909006,0,0
2909461,0,0
2918764,0,0
2919062,0,0
3112872,0,0
3114929,0,0
3120723,0,0
3120957,0,0
3121176,0,0
3122230,0,0
3123479,30,30
3137906,2,0
2922197,0,0
2923381,62,0
2926030,0,0
2936054,0,0
2939670,9,9
2940007,66,66
2940163,0,0
2941297,0,0
2942129,9,9
2942732,0,0
2949128,6,0
3143649,0,0
3145484,2,2
3147439,0,0
3153464,0,0
3156969,0,0
3157330,0,0
3161739,31,0
2958912,0,0
2968070,64,64
2974433,0,0
2974877,0,0
2974957,0,0
2976105,6,6
2979097,5,5
2979714,16,16
2984662,0,0
2987465,19,19
3167768,0,0
3168120,0,0
3171234,0,0
3171480,0,0
3181376,0,0
3187925,21,21
3191450,0,0
3191678,21,21
3198365,0,0
3200522,16,16
3200728,0,0
3202590,2,2
3206379,0,0
2995000,52,52
2995209,9,9
2999527,0,0
3010664,0,0
3012871,53,53
3018031,0,0
3018285,0,0
3040654,0,0
3041280,0,0
3052426,47,47
3056451,0,0
3059273,0,0
3207986,10,9
3208609,0,0
3213712,0,0
3215486,0,0
3215722,0,0
3060297,0,0
3067062,0,0
3067093,0,0
3068145,49,49
3068852,0,0
3072242,0,0
3073195,0,0
3339273,15,15
3339399,72,72
3344237,2,2
3219654,0,0
3219835,0,0
